system,case_id,run,run_status,run_id,source_file,required_fields_present,required_fields_missing,context_usage,constraint_satisfaction,completeness,ground_truth_correctness,unsupported_fact_flags,human_evaluation_status,open_language_quality,evaluation_version,evaluation_source
ChatGPT,outfit_01,1,available,chatgpt_outfit_01_1,llm_runs/chatgpt/chatgpt_outfit_01_run_1.json,False,"[""reason""]",True,True,False,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_01,2,available,chatgpt_outfit_01_2,llm_runs/chatgpt/chatgpt_outfit_01_run_2.json,False,"[""reason""]",True,True,False,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_01,3,available,chatgpt_outfit_01_3,llm_runs/chatgpt/chatgpt_outfit_01_run_3.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_02,1,available,chatgpt_outfit_02_1,llm_runs/chatgpt/chatgpt_outfit_02_run_1.json,False,"[""reason""]",True,True,False,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_02,2,available,chatgpt_outfit_02_2,llm_runs/chatgpt/chatgpt_outfit_02_run_2.json,False,"[""reason""]",True,True,False,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_02,3,available,chatgpt_outfit_02_3,llm_runs/chatgpt/chatgpt_outfit_02_run_3.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_03,1,available,chatgpt_outfit_03_1,llm_runs/chatgpt/chatgpt_outfit_03_run_1.json,False,"[""reason""]",True,True,False,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_03,2,available,chatgpt_outfit_03_2,llm_runs/chatgpt/chatgpt_outfit_03_run_2.json,False,"[""reason""]",True,True,False,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,outfit_03,3,available,chatgpt_outfit_03_3,llm_runs/chatgpt/chatgpt_outfit_03_run_3.json,False,"[""reason""]",True,True,False,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,presentation_01,1,available,chatgpt_presentation_01_1,llm_runs/chatgpt/chatgpt_presentation_01_run_1.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,presentation_01,2,available,chatgpt_presentation_01_2,llm_runs/chatgpt/chatgpt_presentation_01_run_2.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,presentation_01,3,available,chatgpt_presentation_01_3,llm_runs/chatgpt/chatgpt_presentation_01_run_3.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,presentation_02,1,available,chatgpt_presentation_02_1,llm_runs/chatgpt/chatgpt_presentation_02_run_1.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,presentation_02,2,available,chatgpt_presentation_02_2,llm_runs/chatgpt/chatgpt_presentation_02_run_2.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
ChatGPT,presentation_02,3,available,chatgpt_presentation_02_3,llm_runs/chatgpt/chatgpt_presentation_02_run_3.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required,evaluation-v2,raw_response_reparsed
